@relation ObtainTorque

@attribute node numeric
@attribute torque numeric
@attribute distance numeric

@data
1,340,19.43342
1,345,1.3035
1,350,0.385101
1,355,0.677827
1,360,2.700294
1,365,1.996645
1,370,2.185644
1,375,2.152325
1,380,2.507493
1,385,2.438776
1,390,2.779496
1,395,2.874099
1,400,0.493919
1,405,2.707084
1,410,1.142933
1,415,2.340384
1,420,0.362233
1,425,0.744008
1,430,1.509267
1,435,2.499066
1,440,2.52451
1,445,2.516424
1,450,2.157986
1,455,2.347835
1,460,2.010466
1,465,1.873365
1,470,1.434553
1,475,0.739714
1,480,1.446602
1,485,1.701912
1,490,10.533963
1,495,6.575622
1,500,0.610432
2,340,20.832497
2,345,19.449688
2,350,30.87483
2,355,11.385888
2,360,14.663231
2,365,17.303532
2,370,25.716228
2,375,16.11413
2,380,18.41087
2,385,19.269472
2,390,20.528948
2,395,20.780224
2,400,21.338701
2,405,25.992975
2,410,26.460562
2,415,23.71817
2,420,25.733841
2,425,25.324802
2,430,26.974157
2,435,18.368719
2,440,17.327106
2,445,16.881857
2,450,18.59705
2,455,17.6028
2,460,20.775053
2,465,22.520712
2,470,22.378
2,475,21.921541
2,480,30.617142
2,485,11.03366
2,490,5.017035
2,495,18.322384
2,500,32.009514
3,340,65.740395
3,345,49.285206
3,350,13.766958
3,355,14.914742
3,360,42.90202
3,365,42.454124
3,370,49.636543
3,375,13.727507
3,380,12.674321
3,385,46.027149
3,390,11.196467
3,395,15.038927
3,400,42.178871
3,405,58.599125
3,410,46.346016
3,415,10.987542
3,420,14.395309
3,425,2.897796
3,430,58.243721
3,435,56.471184
3,440,55.923664
3,445,55.351421
3,450,54.393604
3,455,48.413597
3,460,10.805058
3,465,14.068609
3,470,57.46175
3,475,49.758308
3,480,11.004449
3,485,13.743228
3,490,48.449726
3,495,10.686414
3,500,13.673069
4,340,77.312485
4,345,87.040314
4,350,88.594917
4,355,86.560677
4,360,13.657374
4,365,14.781705
4,370,87.456802
4,375,16.837593
4,380,82.453308
4,385,11.47656
4,390,14.80709
4,395,86.288055
4,400,13.226438
4,405,14.713621
4,410,89.621994
4,415,88.043175
4,420,11.047792
4,425,14.355362
4,430,87.067177
4,435,11.278111
4,440,14.206218
4,445,87.957222
4,450,13.612302
4,455,14.620359
4,460,89.294205
4,465,10.748008
4,470,14.032274
4,475,80.442131
4,480,79.685394
4,485,13.032644
4,490,13.984111
4,495,90.135094
4,500,90.133621
5,340,13.653493
5,345,15.181717
5,350,118.1745
5,355,116.829872
5,360,119.038231
5,365,119.977745
5,370,116.063423
5,375,119.619156
5,380,117.972763
5,385,116.849907
5,390,118.324432
5,395,122.833893
5,400,119.48098
5,405,120.092682
5,410,122.278831
5,415,2.909606
5,420,127.094589
5,425,118.290565
5,430,120.445763
5,435,121.752899
5,440,123.362724
5,445,120.181946
5,450,129.38295
5,455,133.617279
5,460,116.505615
